step,position_error_m,attitude_error_deg,velocity_error_ms,rate_error_rads,yaw_error_raw_rad,yaw_error_corrected_rad,fullstate_error,cumulative_mse_pos,cumulative_rmse_pos,cumulative_mse_full,cumulative_rmse_full,cumulative_mse_input,cumulative_rmse_input,in_track,solve_time_s
64,5.88135615009116e-10,8.300765411188e-07,1.3838924892245e-08,4.14047466970877e-09,-1.44220040354526e-08,-1.44220040354526e-08,2.04669226460524e-08,7.29901828650852e-20,2.70166953688058e-10,1.35749561747073e-16,1.16511613904826e-08,6.00784793810807e-21,7.75103085925225e-11,1,0.0098236
65,6.06452933023156e-10,8.40729916156245e-07,1.4014146465975e-08,3.75403999020633e-09,-1.46072354212379e-08,-1.46072354212379e-08,2.06438527452763e-08,7.75254902051975e-20,2.7843399613768e-10,1.40217547815097e-16,1.18413490707393e-08,5.92219322978589e-21,7.69557875002646e-11,1,0.0098289
66,6.2466995394775e-10,8.50169429517912e-07,1.41691124208825e-08,3.35760368801568e-09,-1.47713752340906e-08,-1.47713752340906e-08,2.07990695807166e-08,8.22631729500443e-20,2.86815573060537e-10,1.44647604597043e-16,1.20269532549621e-08,5.83956450720942e-21,7.64170433032411e-11,1,0.0099593
67,6.42726194977614e-10,8.58347344445853e-07,1.43030407862302e-08,2.95624679428254e-09,-1.49135930271882e-08,-1.49135930271882e-08,2.09322585469452e-08,8.72009906927362e-20,2.95298138654371e-10,1.49028378377328e-16,1.22077179840185e-08,5.75979217461581e-21,7.58932946617539e-11,1,0.0098369
68,6.60560604993894e-10,8.6522088099178e-07,1.44152311994862e-08,2.5573757349963e-09,-1.50331445070151e-08,-1.50331445070151e-08,2.10431505944655e-08,9.23353924894592e-20,3.03867392935569e-10,1.53348757915034e-16,1.23834065553479e-08,5.68271276580781e-21,7.53837699097611e-11,1,0.0098104
69,6.78112064985063e-10,8.70752217248788e-07,1.45050676356558e-08,2.17268784506534e-09,-1.51293715333622e-08,-1.51293715333622e-08,2.1131521334465e-08,9.7661487854515e-20,3.12508380454853e-10,1.57597923654077e-16,1.25538011635551e-08,5.60816729215431e-21,7.48876978692383e-11,1,0.0097281
70,6.95319118919492e-10,8.74908643767629e-07,1.45720225070384e-08,1.8221335967487e-09,-1.52017047838626e-08,-1.52017047838626e-08,2.11972048584021e-08,1.0317301912995e-19,3.21205571449111e-10,1.61765403227719e-16,1.27187028909287e-08,5.53600486496084e-21,7.44043336436853e-11,1,0.010064
71,7.12120620436373e-10,8.77662714021549e-07,1.46156593207317e-08,1.54014178557076e-09,-1.52496664185264e-08,-1.52496664185264e-08,2.12400791555526e-08,1.08862353762637e-19,3.29942955315971e-10,1.65841115330627e-16,1.28779313296285e-08,5.4660816775912e-21,7.39329539352459e-11,1,0.0098443
72,7.28455742490239e-10,8.78992603004925e-07,1.46356340824649e-08,1.37922683287713e-09,-1.527287629699e-08,-1.527287629699e-08,2.12600716381541e-08,1.14720484526586e-19,3.38704125346276e-10,1.69815414368527e-16,1.30313243520575e-08,5.39826158685047e-21,7.34728629280939e-11,1,0.009521
73,7.44264305530108e-10,8.78882060952609e-07,1.46316977725542e-08,1.38915394667055e-09,-1.52710510903376e-08,-1.52710510903376e-08,2.12571637669538e-08,1.20737044416444e-19,3.47472364967984e-10,1.73679134876014e-16,1.31787379849519e-08,5.33241588930122e-21,7.30233927539746e-11,1,0.0094335
74,7.59486876596719e-10,8.77320558301756e-07,1.46036984706545e-08,1.5702025521392e-09,-1.52440069456361e-08,-1.52440069456361e-08,2.12313862506097e-08,1.26900331866528e-19,3.56230728414223e-10,1.77423629838805e-16,1.33200461650403e-08,5.26842454235473e-21,7.25839137988213e-11,1,0.009692
75,7.74064857475878e-10,8.74303441268012e-07,1.45515828057917e-08,1.87416048055506e-09,-1.51916621504711e-08,-1.51916621504711e-08,2.11828174240494e-08,1.33197346156029e-19,3.6496211605594e-10,1.81040804827896e-16,1.34551404610987e-08,5.20617666871764e-21,7.2153840290851e-11,1,0.0098703
76,7.87941282947857e-10,8.6983173352043e-07,1.44753966137046e-08,2.25059368910044e-09,-1.51140335802324e-08,-1.51140335802324e-08,2.11115815891835e-08,1.39613847724681e-19,3.73649364678545e-10,1.84523147885381e-16,1.35839297659176e-08,5.14557047185108e-21,7.17326318480723e-11,1,0.0095418
77,8.01060971375898e-10,8.63912589659216e-07,1.43752856435867e-08,2.66643620752809e-09,-1.50112446917205e-08,-1.50112446917206e-08,2.10178518129895e-08,1.46134429960226e-19,3.82275332659886e-10,1.87863757585997e-16,1.37063400507209e-08,5.08651133133775e-21,7.13197821879578e-11,1,0.0098934
78,8.13369795155767e-10,8.56559092461035e-07,1.42514972217335e-08,3.10231990193853e-09,-1.48835219704324e-08,-1.48835219704324e-08,2.0901840749292e-08,1.52742583725758e-19,3.90822957009639e-10,1.9105636257475e-16,1.38223139370639e-08,5.02891678699106e-21,7.09148558976965e-11,1,0.0096642
79,8.24815934035355e-10,8.47790254584218e-07,1.41043803570304e-08,3.5465977970386e-09,-1.47311949305617e-08,-1.47311949305617e-08,2.07638021551946e-08,1.59420795641111e-19,3.99275338132862e-10,1.94095338743931e-16,1.39318103182584e-08,4.97271109357676e-21,7.05174524041869e-11,1,0.0105396
80,8.35348880851732e-10,8.3763137233581e-07,1.39343848473966e-08,3.99167404663619e-09,-1.45547023322479e-08,-1.45547023322479e-08,2.06040274833113e-08,1.6615063260485e-19,4.07615790426291e-10,1.96975721366295e-16,1.40348039304543e-08,4.91783081085505e-21,7.01272472784656e-11,1,0.0111229
81,8.44921144657972e-10,8.26113416217062e-07,1.37420613673791e-08,4.43215790552972e-09,-1.43545815234347e-08,-1.43545815234347e-08,2.04228401281345e-08,1.72912868507138e-19,4.1582793136962e-10,1.99693211212382e-16,1.41312848394045e-08,4.86421891265766e-21,6.97439525167427e-11,1,0.0100789
82,8.53487582052793e-10,8.13273690653006e-07,1.3528061048911e-08,4.86386576645799e-09,-1.41314799861902e-08,-1.41314799861902e-08,2.0220591541695e-08,1.79687602460933e-19,4.23895744801635e-10,2.02244175981696e-16,1.42212578902745e-08,4.81182862013977e-21,6.93673454886359e-11,1,0.0100647
83,8.61004991423617e-10,7.99155326784763e-07,1.32931338944907e-08,5.28337265999267e-09,-1.38861464549223e-08,-1.38861464549223e-08,1.9997661051123e-08,1.86454373458468e-19,4.31803628352597e-10,2.04625649132707e-16,1.43047421903614e-08,4.76062168559624e-21,6.89972585368161e-11,1,0.009717
84,8.67433981774447e-10,7.83807280158019e-07,1.30381268634082e-08,5.68771778640199e-09,-1.36194309163784e-08,-1.36194309163784e-08,1.97544479244467e-08,1.9319231797369e-19,4.39536480822343e-10,2.06835322509694e-16,1.43817704928738e-08,4.71056981301209e-21,6.86335909960428e-11,1,0.0095317
85,8.72736876702527e-10,7.67284431567726e-07,1.27639824431152e-08,6.07424335594601e-09,-1.3332286386003e-08,-1.3332286386003e-08,1.94913663398738e-08,1.9988028665584e-19,4.47079731877704e-10,2.08871534736582e-16,1.44523885478001e-08,4.66165004290113e-21,6.8276277306991e-11,1,0.0095535
86,8.76880479625349e-10,7.49647029045593e-07,1.24717344721553e-08,6.44057529694964e-09,-1.30257591379745e-08,-1.30257591379745e-08,1.92088559056737e-08,2.06497020247609e-19,4.54419432075268e-10,2.10733262765284e-16,1.45166546685276e-08,4.61384882849664e-21,6.79253180227862e-11,1,0.0096028
